EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:32:28	0.0000	0.4764	0.0102	0.7209	0.8857	0.7949	0.6596
2	15:35:16	0.0000	0.0097	0.0103	0.7209	0.8857	0.7949	0.6596
3	15:38:03	0.0000	0.0059	0.0103	0.7209	0.8857	0.7949	0.6596
4	15:40:51	0.0000	0.0035	0.0103	0.7209	0.8857	0.7949	0.6596
5	15:43:39	0.0000	0.0017	0.0104	0.7209	0.8857	0.7949	0.6596
6	15:46:26	0.0000	0.0020	0.0104	0.7209	0.8857	0.7949	0.6596
7	15:49:10	0.0000	0.0013	0.0105	0.7209	0.8857	0.7949	0.6596
8	15:51:52	0.0000	0.0007	0.0105	0.7209	0.8857	0.7949	0.6596
9	15:54:33	0.0000	0.0005	0.0106	0.7294	0.8857	0.8000	0.6667
10	15:57:15	0.0000	0.0004	0.0106	0.7294	0.8857	0.8000	0.6667
11	15:59:57	0.0000	0.0002	0.0107	0.7294	0.8857	0.8000	0.6667
12	16:02:38	0.0000	0.0000	0.0108	0.7294	0.8857	0.8000	0.6667
13	16:05:20	0.0000	0.0001	0.0108	0.7294	0.8857	0.8000	0.6667
14	16:08:02	0.0000	0.0002	0.0109	0.7294	0.8857	0.8000	0.6667
15	16:10:43	0.0000	0.0001	0.0109	0.7294	0.8857	0.8000	0.6667
16	16:13:25	0.0000	0.0000	0.0109	0.7294	0.8857	0.8000	0.6667
17	16:16:06	0.0000	0.0000	0.0110	0.7294	0.8857	0.8000	0.6667
18	16:18:48	0.0000	0.0000	0.0110	0.7294	0.8857	0.8000	0.6667
19	16:21:29	0.0000	0.0000	0.0110	0.7294	0.8857	0.8000	0.6667
20	16:24:10	0.0000	0.0000	0.0110	0.7294	0.8857	0.8000	0.6667
