EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:43:26	0.0000	0.5607	0.0771	0.7878	0.8142	0.8008	0.6959
2	18:46:15	0.0000	0.0752	0.0771	0.7878	0.8142	0.8008	0.6959
3	18:49:03	0.0000	0.0546	0.0772	0.7878	0.8142	0.8008	0.6959
4	18:51:52	0.0000	0.0459	0.0773	0.7878	0.8142	0.8008	0.6959
5	18:54:41	0.0000	0.0414	0.0773	0.7878	0.8142	0.8008	0.6959
6	18:57:30	0.0000	0.0366	0.0774	0.7878	0.8142	0.8008	0.6959
7	19:00:19	0.0000	0.0301	0.0775	0.7878	0.8142	0.8008	0.6959
8	19:03:08	0.0000	0.0262	0.0776	0.7878	0.8142	0.8008	0.6959
9	19:05:57	0.0000	0.0229	0.0776	0.7878	0.8142	0.8008	0.6959
10	19:08:47	0.0000	0.0206	0.0778	0.7878	0.8142	0.8008	0.6959
11	19:11:36	0.0000	0.0174	0.0779	0.7878	0.8142	0.8008	0.6959
12	19:14:25	0.0000	0.0161	0.0780	0.7878	0.8142	0.8008	0.6959
13	19:17:15	0.0000	0.0137	0.0780	0.7878	0.8142	0.8008	0.6959
14	19:20:04	0.0000	0.0121	0.0781	0.7878	0.8142	0.8008	0.6959
15	19:22:53	0.0000	0.0105	0.0783	0.7878	0.8142	0.8008	0.6959
16	19:25:42	0.0000	0.0076	0.0784	0.7878	0.8142	0.8008	0.6959
17	19:28:31	0.0000	0.0082	0.0785	0.7893	0.8142	0.8016	0.6971
18	19:31:20	0.0000	0.0061	0.0785	0.7893	0.8142	0.8016	0.6971
19	19:34:09	0.0000	0.0051	0.0786	0.7893	0.8142	0.8016	0.6971
20	19:36:58	0.0000	0.0054	0.0786	0.7893	0.8142	0.8016	0.6971
