EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:01:00	0.0000	0.3154	0.0061	0.8592	0.9104	0.8841	0.7922
2	16:06:54	0.0000	0.0046	0.0063	0.8592	0.9104	0.8841	0.7922
3	16:12:48	0.0000	0.0027	0.0065	0.8592	0.9104	0.8841	0.7922
4	16:18:42	0.0000	0.0018	0.0067	0.8592	0.9104	0.8841	0.7922
5	16:24:36	0.0000	0.0011	0.0068	0.8592	0.9104	0.8841	0.7922
6	16:30:30	0.0000	0.0009	0.0070	0.8592	0.9104	0.8841	0.7922
7	16:36:24	0.0000	0.0008	0.0071	0.8592	0.9104	0.8841	0.7922
8	16:42:18	0.0000	0.0005	0.0072	0.8592	0.9104	0.8841	0.7922
9	16:48:12	0.0000	0.0002	0.0073	0.8592	0.9104	0.8841	0.7922
10	16:54:07	0.0000	0.0001	0.0074	0.8592	0.9104	0.8841	0.7922
11	17:00:01	0.0000	0.0000	0.0075	0.8592	0.9104	0.8841	0.7922
12	17:05:52	0.0000	0.0001	0.0076	0.8592	0.9104	0.8841	0.7922
13	17:11:43	0.0000	0.0001	0.0078	0.8592	0.9104	0.8841	0.7922
14	17:17:33	0.0000	0.0002	0.0079	0.8592	0.9104	0.8841	0.7922
15	17:23:24	0.0000	0.0001	0.0079	0.8592	0.9104	0.8841	0.7922
16	17:29:11	0.0000	0.0000	0.0080	0.8592	0.9104	0.8841	0.7922
17	17:34:47	0.0000	0.0000	0.0081	0.8592	0.9104	0.8841	0.7922
18	17:40:24	0.0000	0.0000	0.0081	0.8592	0.9104	0.8841	0.7922
19	17:46:00	0.0000	0.0001	0.0082	0.8592	0.9104	0.8841	0.7922
20	17:51:37	0.0000	0.0001	0.0082	0.8592	0.9104	0.8841	0.7922
