EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:32:33	0.0000	0.2576	0.0159	0.8730	0.7857	0.8271	0.7051
2	15:35:25	0.0000	0.0152	0.0159	0.8730	0.7857	0.8271	0.7051
3	15:38:18	0.0000	0.0102	0.0159	0.8730	0.7857	0.8271	0.7051
4	15:41:11	0.0000	0.0072	0.0160	0.8730	0.7857	0.8271	0.7051
5	15:44:04	0.0000	0.0044	0.0160	0.8730	0.7857	0.8271	0.7051
6	15:46:57	0.0000	0.0034	0.0161	0.8730	0.7857	0.8271	0.7051
7	15:49:49	0.0000	0.0024	0.0161	0.8730	0.7857	0.8271	0.7051
8	15:52:42	0.0000	0.0011	0.0162	0.8730	0.7857	0.8271	0.7051
9	15:55:35	0.0000	0.0009	0.0162	0.8730	0.7857	0.8271	0.7051
10	15:58:28	0.0000	0.0006	0.0163	0.8730	0.7857	0.8271	0.7051
11	16:01:21	0.0000	0.0008	0.0163	0.8730	0.7857	0.8271	0.7051
12	16:04:09	0.0000	0.0004	0.0164	0.8730	0.7857	0.8271	0.7051
13	16:06:56	0.0000	0.0003	0.0164	0.8730	0.7857	0.8271	0.7051
14	16:09:43	0.0000	0.0001	0.0164	0.8730	0.7857	0.8271	0.7051
15	16:12:30	0.0000	0.0001	0.0165	0.8730	0.7857	0.8271	0.7051
16	16:15:17	0.0000	0.0003	0.0165	0.8730	0.7857	0.8271	0.7051
17	16:18:04	0.0000	0.0000	0.0166	0.8730	0.7857	0.8271	0.7051
18	16:20:51	0.0000	0.0000	0.0166	0.8730	0.7857	0.8271	0.7051
19	16:23:39	0.0000	0.0000	0.0166	0.8730	0.7857	0.8271	0.7051
20	16:26:26	0.0000	0.0000	0.0167	0.8730	0.7857	0.8271	0.7051
