EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:48:10	0.0000	0.0739	0.0113	0.9269	0.9543	0.9404	0.8875
2	22:34:42	0.0000	0.0085	0.0114	0.9269	0.9543	0.9404	0.8875
3	23:21:13	0.0000	0.0059	0.0114	0.9269	0.9543	0.9404	0.8875
4	00:07:46	0.0000	0.0041	0.0115	0.9269	0.9543	0.9404	0.8875
5	00:54:19	0.0000	0.0031	0.0115	0.9269	0.9543	0.9404	0.8875
6	01:40:52	0.0000	0.0020	0.0116	0.9269	0.9543	0.9404	0.8875
7	02:27:26	0.0000	0.0013	0.0117	0.9269	0.9543	0.9404	0.8875
8	03:13:57	0.0000	0.0009	0.0118	0.9269	0.9543	0.9404	0.8875
9	04:00:28	0.0000	0.0008	0.0118	0.9269	0.9543	0.9404	0.8875
10	04:46:59	0.0000	0.0005	0.0118	0.9269	0.9543	0.9404	0.8875
