EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:36:38	0.0000	0.2376	0.0155	0.6702	0.9000	0.7683	0.6238
2	15:43:27	0.0000	0.0145	0.0155	0.6702	0.9000	0.7683	0.6238
3	15:50:17	0.0000	0.0104	0.0156	0.6702	0.9000	0.7683	0.6238
4	15:57:06	0.0000	0.0081	0.0155	0.6702	0.9000	0.7683	0.6238
5	16:03:56	0.0000	0.0052	0.0156	0.6702	0.9000	0.7683	0.6238
6	16:10:45	0.0000	0.0040	0.0156	0.6702	0.9000	0.7683	0.6238
7	16:17:34	0.0000	0.0043	0.0157	0.6702	0.9000	0.7683	0.6238
8	16:24:23	0.0000	0.0028	0.0157	0.6702	0.9000	0.7683	0.6238
9	16:31:12	0.0000	0.0016	0.0158	0.6702	0.9000	0.7683	0.6238
10	16:38:01	0.0000	0.0017	0.0158	0.6702	0.9000	0.7683	0.6238
11	16:44:50	0.0000	0.0013	0.0158	0.6702	0.9000	0.7683	0.6238
12	16:51:40	0.0000	0.0017	0.0159	0.6702	0.9000	0.7683	0.6238
13	16:58:29	0.0000	0.0011	0.0159	0.6702	0.9000	0.7683	0.6238
14	17:05:16	0.0000	0.0002	0.0159	0.6702	0.9000	0.7683	0.6238
15	17:12:03	0.0000	0.0004	0.0159	0.6702	0.9000	0.7683	0.6238
16	17:18:51	0.0000	0.0006	0.0159	0.6702	0.9000	0.7683	0.6238
17	17:25:38	0.0000	0.0003	0.0160	0.6702	0.9000	0.7683	0.6238
18	17:32:25	0.0000	0.0003	0.0160	0.6702	0.9000	0.7683	0.6238
19	17:39:12	0.0000	0.0005	0.0160	0.6702	0.9000	0.7683	0.6238
20	17:46:00	0.0000	0.0001	0.0160	0.6702	0.9000	0.7683	0.6238
