EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:43:19	0.0000	0.6980	0.0779	0.8162	0.8775	0.8457	0.7513
2	18:46:01	0.0000	0.0604	0.0783	0.8253	0.8775	0.8506	0.7590
3	18:48:44	0.0000	0.0444	0.0787	0.8253	0.8775	0.8506	0.7590
4	18:51:27	0.0000	0.0347	0.0792	0.8268	0.8775	0.8514	0.7603
5	18:54:10	0.0000	0.0276	0.0797	0.8268	0.8775	0.8514	0.7603
6	18:56:53	0.0000	0.0218	0.0802	0.8268	0.8775	0.8514	0.7603
7	18:59:37	0.0000	0.0174	0.0807	0.8268	0.8775	0.8514	0.7603
8	19:02:20	0.0000	0.0142	0.0813	0.8284	0.8775	0.8522	0.7616
9	19:05:03	0.0000	0.0119	0.0818	0.8284	0.8775	0.8522	0.7616
10	19:07:47	0.0000	0.0099	0.0822	0.8284	0.8775	0.8522	0.7616
11	19:10:30	0.0000	0.0071	0.0827	0.8284	0.8775	0.8522	0.7616
12	19:13:14	0.0000	0.0066	0.0831	0.8284	0.8775	0.8522	0.7616
13	19:15:57	0.0000	0.0059	0.0834	0.8284	0.8775	0.8522	0.7616
14	19:18:41	0.0000	0.0042	0.0838	0.8284	0.8775	0.8522	0.7616
15	19:21:24	0.0000	0.0041	0.0841	0.8284	0.8775	0.8522	0.7616
16	19:24:07	0.0000	0.0025	0.0843	0.8284	0.8775	0.8522	0.7616
17	19:26:50	0.0000	0.0031	0.0845	0.8284	0.8775	0.8522	0.7616
18	19:29:33	0.0000	0.0026	0.0847	0.8284	0.8775	0.8522	0.7616
19	19:32:16	0.0000	0.0026	0.0848	0.8284	0.8775	0.8522	0.7616
20	19:34:59	0.0000	0.0025	0.0848	0.8284	0.8775	0.8522	0.7616
