EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:10:00	0.0000	0.3783	0.0077	0.9062	0.8657	0.8855	0.7945
2	16:24:39	0.0000	0.0104	0.0079	0.9062	0.8657	0.8855	0.7945
3	16:39:20	0.0000	0.0070	0.0080	0.9062	0.8657	0.8855	0.7945
4	16:53:59	0.0000	0.0048	0.0081	0.9062	0.8657	0.8855	0.7945
5	17:08:39	0.0000	0.0028	0.0081	0.9062	0.8657	0.8855	0.7945
6	17:23:21	0.0000	0.0023	0.0082	0.9062	0.8657	0.8855	0.7945
7	17:38:02	0.0000	0.0025	0.0082	0.9062	0.8657	0.8855	0.7945
8	17:52:41	0.0000	0.0018	0.0083	0.9062	0.8657	0.8855	0.7945
9	18:07:17	0.0000	0.0015	0.0083	0.9062	0.8657	0.8855	0.7945
10	18:21:51	0.0000	0.0009	0.0083	0.9062	0.8657	0.8855	0.7945
11	18:36:26	0.0000	0.0010	0.0083	0.9062	0.8657	0.8855	0.7945
12	18:51:01	0.0000	0.0007	0.0084	0.9062	0.8657	0.8855	0.7945
13	19:05:36	0.0000	0.0004	0.0084	0.9062	0.8657	0.8855	0.7945
14	19:20:11	0.0000	0.0004	0.0084	0.9062	0.8657	0.8855	0.7945
15	19:34:47	0.0000	0.0002	0.0085	0.9062	0.8657	0.8855	0.7945
16	19:49:22	0.0000	0.0001	0.0085	0.9062	0.8657	0.8855	0.7945
17	20:03:56	0.0000	0.0001	0.0085	0.9062	0.8657	0.8855	0.7945
18	20:18:31	0.0000	0.0000	0.0085	0.9062	0.8657	0.8855	0.7945
19	20:33:07	0.0000	0.0001	0.0086	0.9062	0.8657	0.8855	0.7945
20	20:47:42	0.0000	0.0000	0.0086	0.9062	0.8657	0.8855	0.7945
